parcel_id,parcel_status,has_displacement,pnt_id,pnt_gid,pnt_lat,pnt_lon,centroid_lat,centroid_lon,geometry_type,is_multipart,part_count,exterior_vertex_count,interior_ring_count,knmi_id,knmi_name,soilcode,soil_descr,ghg_mean,glg_mean,region,peilgebied,cropcode,area,perimeter,meteo_id,model_soilcode,vI,var_vI,T,dof,sigmasq_test,xP,xE,xI,tau
9701,moving,True,9701.0,7751.0,51.99512626170311,4.7992829476253,51.995126264093635,4.799282954773765,MultiPolygon,True,2,33,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,5121.0,265.0,6254.963550567627,406.1319891543635,348.0,pVb,-6.7661897970912666,0.031698597749997816,326.6575139189867,436.0,0.7492144814655658,0.07083042369499999,0.13099087971399997,-0.030307681062,70.0
9702,moving,True,9702.0,7751.0,51.996270278589925,4.797922593414046,51.9962702809148,4.797922599351757,Polygon,False,1,49,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,5121.0,265.0,8562.849891662598,417.3744913628706,348.0,pVb,-6.774882445253704,0.02884233749999747,327.33678185502407,469.0,0.6979462299680684,0.07096241423199999,0.12603543681999999,-0.030900262007999998,73.0
9703,moving,True,9703.0,7724.0,51.99976676202644,4.7910430432491475,51.99976676358371,4.791043073875669,Polygon,False,1,15,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,4590.0,265.0,23407.385227203373,841.4688128951334,348.0,pVb,-5.755314473134835,0.011472824999999336,601.4415705436699,627.0,0.9592369546151034,0.07161579930999999,0.113942716688,-0.028074704747000002,67.0
9704,moving,True,9704.0,7751.0,51.99269205910499,4.801052440775469,51.992692044104004,4.801052493638333,Polygon,False,1,17,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,5121.0,265.0,10816.17349243164,872.6650032606389,348.0,pVb,-5.723165252564373,0.0362784272499984,319.0228239221402,497.0,0.641897030024427,0.08519057899100001,0.111882473783,-0.030361619377,69.0
9705,moving,True,9705.0,7751.0,51.998276042913645,4.794211692972485,51.99827604528224,4.79421169887872,Polygon,False,1,36,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,5121.0,265.0,6463.727886199951,382.23484211228606,348.0,pVb,-5.823837597504169,0.041693184000002416,217.72103452283469,318.0,0.6846573412667757,0.076822113188,0.104834285054,-0.030332487487,68.0
9792,blank_no_displacement,False,,,,,51.98109397386238,4.68908041340657,Polygon,False,1,24,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Eendragtspolder,25465.0,265.0,6959.334739685059,693.4761212434429,,,,,,,,,,,
9891,moving,True,9891.0,5941.0,51.895338919927674,4.673733230884214,51.89533886363097,4.673733196407967,MultiPolygon,True,2,86,0,348,Cabauw mast,eMv41C,"Kalkarme drechtvaaggronden; zware klei, profielverloop 1",18.5,69.4,Kinderdijk,7408.0,265.0,26047.056297302246,1671.814130385993,348.0,eMv41C,-5.4247515447226755,0.014450097687500272,341.06282765293076,618.0,0.5518815981439009,0.072390072567,0.119222710752,-0.026002404049,69.0
10013,blank_no_displacement,False,,,,,52.00569398646584,4.802955442937057,Polygon,False,1,38,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,5285.0,331.0,19849.74686050415,610.8118605422351,,,,,,,,,,,
10234,blank_no_displacement,False,,,,,51.98782886055162,4.778305732897676,Polygon,False,1,29,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,331.0,8939.33222579956,803.9214801500972,,,,,,,,,,,
10235,moving,True,10235.0,7065.0,51.96520306276048,4.729269541409766,51.965203049999324,4.729269740238406,Polygon,False,1,54,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,23040.536178588867,1976.283471527882,348.0,hVc,-5.452289325497112,0.025841203500001065,273.09161378116676,544.0,0.5020066429800859,0.06771515563200001,0.10885706154000001,-0.026403338138,66.0
